Level,link_URL
2,https://de.wikipedia.org//wiki/Marcus_Porcius_Cato_der_%C3%84ltere
2,https://de.wikipedia.org//wiki/Marcus_Terentius_Varro
2,https://de.wikipedia.org//wiki/Aulus_Cornelius_Celsus
2,https://de.wikipedia.org//wiki/Bildungskanon
2,https://de.wikipedia.org//wiki/Martianus_Capella
2,https://de.wikipedia.org//wiki/Philologie
2,https://de.wikipedia.org//wiki/Mercurius
2,https://de.wikipedia.org//wiki/Etymologiae
2,https://de.wikipedia.org//wiki/Cassiodor
2,https://de.wikipedia.org//wiki/Fr%C3%BChmittelalter
2,https://de.wikipedia.org//wiki/Isidor_von_Sevilla
2,https://de.wikipedia.org//wiki/Rabanus_Maurus
2,https://de.wikipedia.org//wiki/De_universo
2,https://de.wikipedia.org//wiki/Speculum_maius
2,https://de.wikipedia.org//wiki/Vincent_von_Beauvais
2,https://de.wikipedia.org//wiki/Thomas_von_Aquin
2,https://de.wikipedia.org//wiki/Jacob_van_Maerlant
2,https://de.wikipedia.org//wiki/Alexanderroman
2,https://de.wikipedia.org//wiki/Liber_de_natura_rerum_(Thomas_von_Cantimpr%C3%A9)
2,https://de.wikipedia.org//wiki/Thomas_von_Cantimpr%C3%A9
2,https://de.wikipedia.org//wiki/Albertus_Magnus
2,https://de.wikipedia.org//wiki/De_proprietatibus_rerum
2,https://de.wikipedia.org//wiki/Bartholomaeus_Anglicus
2,https://de.wikipedia.org//wiki/Juan_Luis_Vives
2,https://de.wikipedia.org//wiki/Yongle_Dadian
2,https://de.wikipedia.org//wiki/Ciyuan
2,https://de.wikipedia.org//wiki/Ikhwan_al-Safa
2,https://de.wikipedia.org//wiki/Basra
2,https://de.wikipedia.org//wiki/Neuplatonismus
2,https://de.wikipedia.org//wiki/Ismailiten
2,https://de.wikipedia.org//wiki/Enzyklop%C3%A4dien_aus_dem_chinesischen_Kulturkreis
2,https://de.wikipedia.org//wiki/Enzyklop%C3%A4dien_aus_dem_islamischen_Kulturkreis
2,https://de.wikipedia.org//wiki/Lexicon_technicum
2,https://de.wikipedia.org//wiki/Margarita_Philosophica
2,https://de.wikipedia.org//wiki/Gregor_Reisch
2,https://de.wikipedia.org//wiki/Enzyklop%C3%A4die_(Aventinus)
2,https://de.wikipedia.org//wiki/Johannes_Aventinus
2,https://de.wikipedia.org//wiki/Encyclopaedia_Cursus_Philosophici
2,https://de.wikipedia.org//wiki/Johann_Heinrich_Alsted
2,https://de.wikipedia.org//wiki/Le_grand_dictionaire_historique
2,https://de.wikipedia.org//wiki/Louis_Mor%C3%A9ri
2,https://de.wikipedia.org//wiki/Dictionnaire_historique_et_critique
2,https://de.wikipedia.org//wiki/Pierre_Bayle
2,https://de.wikipedia.org//wiki/Ego-Dokument
2,https://de.wikipedia.org//wiki/Antoine_Fureti%C3%A8re
2,https://de.wikipedia.org//wiki/John_Harris_(Mathematiker)
2,https://de.wikipedia.org//wiki/Ephraim_Chambers
2,https://de.wikipedia.org//wiki/Grosses_vollst%C3%A4ndiges_Universal-Lexicon_Aller_Wissenschafften_und_K%C3%BCnste
2,https://de.wikipedia.org//wiki/Johann_Heinrich_Zedler
2,https://de.wikipedia.org//wiki/Saline
2,https://de.wikipedia.org//wiki/Teylers_Museum
2,https://de.wikipedia.org//wiki/Aufkl%C3%A4rung
2,https://de.wikipedia.org//wiki/R%C3%B6misch-katholische_Kirche
2,https://de.wikipedia.org//wiki/Zensur_(Informationskontrolle)
2,https://de.wikipedia.org//wiki/Denis_Diderot
2,https://de.wikipedia.org//wiki/Jean-Baptiste_le_Rond_d%E2%80%99Alembert
2,https://de.wikipedia.org//wiki/Enzyklop%C3%A4dist_(Encyclop%C3%A9die)
2,https://de.wikipedia.org//wiki/Louis_de_Jaucourt
2,https://de.wikipedia.org//wiki/Encyclopaedia_Britannica
2,https://de.wikipedia.org//wiki/Franz%C3%B6sische_Revolution
2,https://de.wikipedia.org//wiki/Tempel_von_Edfu
2,https://de.wikipedia.org//wiki/Universal-Lexikon_der_Gegenwart_und_Vergangenheit
2,https://de.wikipedia.org//wiki/Renatus_Gotthelf_L%C3%B6bel
2,https://de.wikipedia.org//wiki/Friedrich_Arnold_Brockhaus
2,https://de.wikipedia.org//wiki/Verlagsbuchhandel
2,https://de.wikipedia.org//wiki/Meyers_Konversations-Lexikon
2,https://de.wikipedia.org//wiki/Pierer%27s_Universal-Lexikon
2,https://de.wikipedia.org//wiki/Herders_Conversations-Lexikon
2,https://de.wikipedia.org//wiki/Weltkrieg
2,https://de.wikipedia.org//wiki/Erster_Weltkrieg
2,https://de.wikipedia.org//wiki/Deutsche_Inflation_1914_bis_1923
2,https://de.wikipedia.org//wiki/Zeit_des_Nationalsozialismus
2,https://de.wikipedia.org//wiki/Gleichschaltung
2,https://de.wikipedia.org//wiki/Parteiamtliche_Pr%C3%BCfungskommission_zum_Schutze_des_nationalsozialistischen_Schrifttums
2,https://de.wikipedia.org//wiki/Zweiter_Weltkrieg
2,https://de.wikipedia.org//wiki/Bibliographisches_Institut
2,https://de.wikipedia.org//wiki/Piper_Verlag
2,https://de.wikipedia.org//wiki/Droemer-Knaur
2,https://de.wikipedia.org//wiki/Kaufhof
2,https://de.wikipedia.org//wiki/Tchibo
2,https://de.wikipedia.org//wiki/Bibliographisches_Institut_%26_F._A._Brockhaus
2,https://de.wikipedia.org//wiki/Langenscheidt-Verlag
2,https://de.wikipedia.org//wiki/Robert_Maxwell
2,https://de.wikipedia.org//wiki/Science-Fiction
2,https://de.wikipedia.org//wiki/H._G._Wells
2,https://de.wikipedia.org//wiki/Mikrofilm
2,https://de.wikipedia.org//wiki/Bibliothekskatalog
2,https://de.wikipedia.org//wiki/Personal_Computer
2,https://de.wikipedia.org//wiki/Winkler_Prins
2,https://de.wikipedia.org//wiki/Microsoft
2,https://de.wikipedia.org//wiki/CD-ROM
2,https://de.wikipedia.org//wiki/Encyclop%C3%A6dia_Universalis
2,https://de.wikipedia.org//wiki/Windows
2,https://de.wikipedia.org//wiki/Online-Enzyklop%C3%A4die
2,https://de.wikipedia.org//wiki/Nupedia
2,https://de.wikipedia.org//wiki/Online
2,https://de.wikipedia.org//wiki/CompuServe
2,https://de.wikipedia.org//wiki/Freies_Wissen
2,https://de.wikipedia.org//wiki/Richard_Stallman
2,https://de.wikipedia.org//wiki/GNU
2,https://de.wikipedia.org//wiki/Jimmy_Wales
2,https://de.wikipedia.org//wiki/Larry_Sanger
2,https://de.wikipedia.org//wiki/Wiki
2,https://de.wikipedia.org//wiki/Ehrenamt
2,https://de.wikipedia.org//wiki/Wikimedia_Foundation
2,https://de.wikipedia.org//wiki/Roy_Rosenzweig
2,https://de.wikipedia.org//wiki/Pr%C3%A4gnanz
